model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
 I40,2016,68000.0,Manual,45142,Diesel,30,65.7,1.7
 IX35,2014,49000.0,Manual,39472,Petrol,200,41.5,1.6
 I10,2017,50333.333333333336,Manual,26628,Petrol,145,57.7,1.2
 I30,2016,57333.333333333336,Manual,32795,Diesel,0,78.4,1.6
 I10,2017,43000.0,Manual,30500,Petrol,145,57.7,1.2
 I800,2018,129000.0,Automatic,36862,Diesel,145,28.0,2.5
 Santa Fe,2015,106333.33333333333,Manual,50715,Diesel,200,46.3,2.2
 I10,2017,51333.333333333336,Manual,8652,Petrol,20,60.1,1.0
 Kona,2020,176666.66666666666,Automatic,1000,Hybrid,135,52.3,1.6
 I30,2016,50000.0,Manual,45985,Diesel,0,78.4,1.6
 Tucson,2016,76666.66666666667,Manual,31022,Diesel,30,61.7,1.7
 I30,2017,72333.33333333333,Semi-Auto,30335,Diesel,145,68.9,1.6
 Tucson,2019,168333.33333333334,Semi-Auto,8125,Diesel,150,46.3,1.6
 I10,2014,37000.0,Manual,12590,Petrol,30,57.6,1.2
 IX35,2014,59666.666666666664,Manual,31172,Diesel,145,53.3,1.7
 I20,2016,59333.333333333336,Manual,20219,Petrol,30,58.9,1.0
 Tucson,2015,91666.66666666667,Manual,47085,Diesel,145,54.3,2.0
 Tucson,2017,110666.66666666667,Semi-Auto,19012,Diesel,145,57.6,1.7
 I10,2013,30666.666666666668,Automatic,46211,Petrol,125,51.4,1.2
 I30,2018,65666.66666666667,Manual,23064,Petrol,145,56.5,1.0
 I10,2014,41000.0,Manual,8896,Petrol,20,60.1,1.0
 I10,2016,48333.333333333336,Manual,9862,Petrol,30,57.6,1.2
 I10,2016,37000.0,Manual,16985,Petrol,20,60.1,1.0
 IX20,2018,77666.66666666667,Automatic,17167,Petrol,145,43.5,1.6
 I20,2017,54333.333333333336,Manual,19952,Petrol,150,58.9,1.2
 I10,2014,40000.0,Manual,19874,Petrol,30,57.6,1.2
 I10,2016,46000.0,Manual,12965,Petrol,20,60.1,1.0
 I20,2016,55333.333333333336,Automatic,20458,Petrol,165,42.2,1.4
 Santa Fe,2019,247333.33333333334,Semi-Auto,2251,Diesel,145,40.9,2.2
 Tucson,2017,84000.0,Manual,27717,Diesel,150,61.7,1.7
 I40,2016,74666.66666666667,Semi-Auto,29334,Diesel,125,56.5,1.7
 I20,2016,46000.0,Manual,17454,Petrol,30,56.5,1.2
 Ioniq,2018,128666.66666666667,Automatic,9151,Hybrid,135,78.5,1.6
 Tucson,2017,105333.33333333333,Manual,25123,Diesel,145,54.3,2.0
 Ioniq,2018,130000.0,Automatic,7999,Hybrid,135,78.5,1.6
 Tucson,2017,91666.66666666667,Manual,15999,Diesel,145,61.7,1.7
 Tucson,2017,110666.66666666667,Manual,23295,Diesel,200,47.9,2.0
 Tucson,2017,111666.66666666667,Manual,22117,Diesel,30,61.7,1.7
 I10,2013,24666.666666666668,Manual,58000,Petrol,20,61.4,1.2
 IX35,2014,54333.333333333336,Manual,35452,Diesel,165,50.4,1.7
 IX20,2016,52333.333333333336,Manual,2542,Petrol,125,50.4,1.4
 I10,2015,37000.0,Manual,26280,Petrol,30,57.6,1.2
 IX20,2016,59666.666666666664,Automatic,31000,Petrol,165,43.5,1.6
 I10,2014,35000.0,Manual,37973,Petrol,30,57.6,1.2
 Tucson,2017,98000.0,Semi-Auto,30335,Diesel,150,57.6,1.7
 Tucson,2017,98000.0,Manual,26976,Diesel,145,61.7,1.7
 Ioniq,2019,113000.0,Automatic,11849,Hybrid,140,78.5,1.6
 Tucson,2017,105333.33333333333,Semi-Auto,25597,Diesel,125,57.6,1.7
 Tucson,2018,98000.0,Manual,19377,Petrol,150,44.8,1.6
 Tucson,2019,108666.66666666667,Manual,16553,Petrol,145,34.9,1.6
 I40,2015,60666.666666666664,Manual,33036,Diesel,20,67.3,1.7
 Tucson,2017,107666.66666666667,Semi-Auto,14737,Diesel,125,57.6,1.7
 I30,2017,67000.0,Manual,32361,Diesel,0,78.4,1.6
 I10,2017,52333.333333333336,Manual,19812,Petrol,145,60.1,1.0
 Tucson,2016,68000.0,Manual,36567,Diesel,30,61.7,1.7
 Tucson,2017,113000.0,Semi-Auto,6436,Diesel,150,57.6,1.7
 Tucson,2018,98000.0,Manual,29315,Petrol,145,44.8,1.6
 I30,2019,122000.0,Manual,1771,Petrol,145,45.6,1.0
 I20,2020,96333.33333333333,Manual,2637,Petrol,145,46.3,1.2
 I10,2020,85000.0,Manual,101,Petrol,145,56.5,1.0
 I10,2017,55333.333333333336,Manual,34407,Petrol,145,57.7,1.2
 Tucson,2018,98000.0,Manual,16624,Petrol,150,44.8,1.6
 I20,2016,51333.333333333336,Manual,28387,Petrol,30,56.5,1.2
 I10,2015,41000.0,Manual,20905,Petrol,30,57.6,1.2
 I20,2016,45000.0,Manual,47257,Petrol,0,65.7,1.0
 IX35,2015,62666.666666666664,Manual,33910,Petrol,200,41.5,1.6
 I10,2017,47000.0,Manual,18732,Petrol,145,60.1,1.0
 I10,2018,52333.333333333336,Manual,8623,Petrol,145,60.1,1.0
 Tucson,2017,94666.66666666667,Manual,20607,Diesel,30,61.7,1.7
 I10,2019,54333.333333333336,Manual,16330,Petrol,145,60.1,1.0
 I30,2016,59333.333333333336,Manual,20394,Petrol,145,48.7,1.4
 Kona,2018,98333.33333333333,Manual,7473,Petrol,145,52.3,1.0
 I10,2020,85000.0,Manual,101,Petrol,145,56.5,1.0
 Tucson,2020,160666.66666666666,Semi-Auto,450,Petrol,145,36.2,1.6
 Kona,2020,125000.0,Manual,2622,Petrol,145,44.1,1.0
 Ioniq,2019,159666.66666666666,Automatic,8492,Hybrid,135,78.5,1.6
 I30,2019,101333.33333333333,Manual,988,Petrol,145,45.6,1.0
 Tucson,2017,91666.66666666667,Semi-Auto,41418,Diesel,125,57.6,1.7
 Tucson,2017,84000.0,Manual,35731,Petrol,150,44.8,1.6
 I30,2015,51000.0,Manual,34978,Diesel,0,78.4,1.6
 Tucson,2017,103333.33333333333,Semi-Auto,31960,Diesel,150,57.6,1.7
 I10,2015,40000.0,Manual,44444,Petrol,30,57.6,1.2
 IX35,2015,55333.333333333336,Manual,29865,Diesel,145,53.3,1.7
 I10,2015,47000.0,Semi-Auto,10457,Petrol,145,47.9,1.2
 I800,2018,116000.0,Manual,39101,Diesel,145,37.7,2.5
 Kona,2018,96333.33333333333,Manual,19012,Petrol,145,44.1,1.0
 Tucson,2019,154333.33333333334,Automatic,3168,Hybrid,145,50.4,1.6
 Tucson,2018,89333.33333333333,Manual,29268,Diesel,150,61.7,1.7
 Tucson,2019,151000.0,Manual,110,Petrol,145,34.9,1.6
 Ioniq,2018,128666.66666666667,Automatic,6259,Hybrid,135,78.5,1.6
 Tucson,2018,119333.33333333333,Semi-Auto,32482,Diesel,145,57.7,1.7
 Tucson,2018,94666.66666666667,Manual,7719,Petrol,145,44.8,1.6
 I20,2016,49333.333333333336,Manual,11,Petrol,30,55.4,1.2
 I30,2017,70333.33333333333,Manual,41477,Diesel,145,74.3,1.6
 Kona,2018,108666.66666666667,Manual,9106,Petrol,145,44.1,1.0
 I20,2019,80000.0,Manual,1583,Petrol,145,46.3,1.2
 I20,2019,80000.0,Manual,7097,Petrol,145,46.3,1.2
 Kona,2019,91333.33333333333,Manual,9283,Petrol,150,44.1,1.0
 Tucson,2018,110666.66666666667,Manual,9046,Petrol,145,44.8,1.6
 I20,2019,77000.0,Manual,3279,Petrol,145,46.3,1.2
 I20,2018,67666.66666666667,Manual,8804,Petrol,145,58.9,1.2
 Tucson,2018,123333.33333333333,Manual,16103,Petrol,145,38.7,1.6
 Tucson,2017,104333.33333333333,Manual,20820,Diesel,145,54.3,2.0
 I20,2018,69666.66666666667,Manual,19997,Petrol,145,46.3,1.2
 Tucson,2017,105333.33333333333,Semi-Auto,12356,Diesel,125,57.6,1.7
 Kona,2019,101333.33333333333,Manual,150,Petrol,145,44.1,1.0
 I20,2017,57333.333333333336,Manual,10402,Petrol,145,58.9,1.2
 I20,2017,61666.666666666664,Manual,22851,Petrol,145,55.4,1.2
 I20,2017,56333.333333333336,Manual,14225,Petrol,145,58.9,1.2
 I30,2019,175666.66666666666,Manual,500,Petrol,145,34.0,2.0
 I30,2017,64666.666666666664,Manual,9866,Petrol,145,57.7,1.0
 Tucson,2018,110666.66666666667,Automatic,27855,Diesel,145,47.1,2.0
 Tucson,2018,99000.0,Semi-Auto,32802,Diesel,145,57.6,1.7
 I800,2018,123000.0,Automatic,35460,Diesel,145,28.0,2.5
 I20,2016,57333.333333333336,Manual,28106,Petrol,30,56.5,1.2
 Santa Fe,2014,106333.33333333333,Semi-Auto,48900,Diesel,260,41.5,2.2
 I20,2013,33666.666666666664,Manual,30252,Petrol,30,57.6,1.2
 I20,2014,36000.0,Manual,30950,Petrol,30,57.6,1.2
 I20,2014,33666.666666666664,Manual,36642,Petrol,30,57.6,1.2
 I10,2019,64666.666666666664,Manual,1000,Petrol,145,49.6,1.0
 I40,2017,80000.0,Manual,26500,Diesel,150,65.7,1.7
 Tucson,2017,100000.0,Manual,31382,Diesel,145,61.7,1.7
 Tucson,2016,75666.66666666667,Semi-Auto,66899,Diesel,125,57.6,1.7
 Tucson,2016,66000.0,Manual,45000,Diesel,30,61.7,1.7
 Tucson,2017,87333.33333333333,Manual,18145,Diesel,30,61.7,1.7
 I30,2014,42000.0,Manual,42332,Petrol,150,47.1,1.4
 Tucson,2017,75666.66666666667,Manual,50408,Diesel,30,61.7,1.7
 Tucson,2017,102333.33333333333,Semi-Auto,32939,Diesel,125,57.6,1.7
 Tucson,2017,130000.0,Semi-Auto,17378,Diesel,145,57.6,1.7
 I10,2017,44000.0,Manual,15628,Petrol,20,60.1,1.0
 Tucson,2017,102333.33333333333,Manual,19674,Diesel,30,61.7,1.7
 I20,2013,30666.666666666668,Manual,41232,Petrol,30,57.6,1.2
 I10,2016,37000.0,Manual,13971,Petrol,20,60.1,1.0
 I10,2017,46000.0,Manual,28585,Petrol,145,60.1,1.0
 Santa Fe,2014,91000.0,Semi-Auto,49216,Diesel,260,41.5,2.2
 I800,2018,123000.0,Automatic,32420,Diesel,145,28.0,2.5
 I800,2018,124333.33333333333,Manual,31007,Diesel,145,31.7,2.5
 I10,2014,29666.666666666668,Manual,37875,Petrol,20,60.1,1.0
 I20,2015,43000.0,Manual,33925,Petrol,125,51.4,1.4
 Tucson,2017,108666.66666666667,Semi-Auto,20996,Diesel,125,57.6,1.7
 I10,2017,45000.0,Manual,32107,Petrol,145,57.7,1.2
 I40,2015,60666.666666666664,Semi-Auto,61919,Diesel,125,56.5,1.7
 I40,2015,57333.333333333336,Manual,43492,Diesel,30,62.8,1.7
 I30,2017,73333.33333333333,Manual,29304,Diesel,145,74.3,1.6
 Tucson,2016,67000.0,Manual,31604,Petrol,165,44.8,1.6
 I800,2018,125333.33333333333,Automatic,33244,Diesel,145,28.0,2.5
 I40,2016,70333.33333333333,Manual,14335,Diesel,20,67.3,1.7
 Tucson,2018,108666.66666666667,Manual,5942,Petrol,150,38.7,1.6
 I30,2019,154333.33333333334,Manual,4700,Petrol,150,34.0,2.0
 I10,2013,24666.666666666668,Manual,69814,Petrol,20,61.4,1.2
 I30,2013,34000.0,Manual,68728,Diesel,0,76.3,1.6
 I10,2017,47000.0,Manual,9647,Petrol,145,60.1,1.0
 Santa Fe,2019,265000.0,Semi-Auto,1173,Diesel,145,39.2,2.2
 I20,2016,50333.333333333336,Manual,19578,Petrol,30,55.4,1.2
 Kona,2018,85000.0,Manual,22684,Petrol,150,52.3,1.0
 Tucson,2019,157666.66666666666,Manual,150,Petrol,145,34.9,1.6
 Kona,2018,91333.33333333333,Manual,7837,Petrol,145,44.1,1.0
 I10,2015,36000.0,Manual,23234,Petrol,20,60.1,1.0
 Santa Fe,2018,152666.66666666666,Semi-Auto,33911,Diesel,145,42.8,2.2
 I800,2018,108666.66666666667,Manual,38560,Diesel,145,37.7,2.5
 Santa Fe,2018,140666.66666666666,Automatic,35915,Diesel,145,42.8,2.2
 I800,2018,125333.33333333333,Automatic,33389,Diesel,145,31.7,2.5
 I800,2018,116000.0,Manual,38093,Diesel,145,37.7,2.5
 I10,2019,67666.66666666667,Manual,2938,Petrol,145,49.6,1.0
 I20,2017,50333.333333333336,Manual,35937,Petrol,30,58.9,1.2
 I10,2016,37000.0,Manual,23315,Petrol,20,60.1,1.0
 I10,2016,38000.0,Manual,28386,Petrol,20,61.4,1.0
 I10,2016,38000.0,Manual,19390,Petrol,20,60.1,1.0
 Santa Fe,2016,125333.33333333333,Semi-Auto,48155,Diesel,235,42.2,2.2
 I20,2016,48333.333333333336,Manual,20934,Petrol,30,56.5,1.2
 Kona,2019,94333.33333333333,Manual,9130,Petrol,145,44.1,1.0
 I30,2019,99333.33333333333,Manual,3961,Petrol,145,41.5,1.4
 I30,2019,101333.33333333333,Manual,1247,Petrol,145,45.6,1.0
 I10,2017,52333.333333333336,Manual,18036,Petrol,145,57.7,1.2
 I20,2019,81000.0,Manual,1027,Petrol,145,46.3,1.2
 Tucson,2019,151000.0,Manual,199,Petrol,145,34.9,1.6
 Tucson,2016,69333.33333333333,Manual,51846,Diesel,30,61.7,1.7
 Tucson,2016,67000.0,Manual,48868,Diesel,30,61.7,1.7
 I20,2014,33666.666666666664,Manual,36818,Petrol,30,57.6,1.2
 Tucson,2019,168333.33333333334,Semi-Auto,10003,Hybrid,150,50.4,1.6
 Tucson,2018,126666.66666666667,Manual,9424,Petrol,150,34.9,1.6
 Tucson,2018,119333.33333333333,Manual,18856,Petrol,150,38.7,1.6
 I800,2018,125333.33333333333,Automatic,32383,Diesel,145,28.0,2.5
 Ioniq,2018,103333.33333333333,Automatic,24905,Hybrid,140,78.5,1.6
 Tucson,2016,88333.33333333333,Semi-Auto,3778,Diesel,125,57.6,1.7
 I10,2019,56333.333333333336,Manual,18101,Petrol,150,60.1,1.0
 Tucson,2017,89333.33333333333,Manual,38319,Diesel,150,61.7,1.7
 Ioniq,2018,116000.0,Automatic,18478,Hybrid,140,78.5,1.6
 I20,2014,27666.666666666668,Manual,49854,Petrol,30,57.6,1.2
 I20,2017,70666.66666666667,Automatic,6264,Petrol,165,45.6,1.4
 I10,2018,54333.333333333336,Manual,14830,Petrol,145,60.1,1.0
 I30,2018,64666.666666666664,Manual,12223,Petrol,145,57.7,1.0
 I30,2018,64666.666666666664,Manual,14319,Petrol,145,57.7,1.0
 I30,2015,48000.0,Manual,38279,Diesel,0,78.4,1.6
 Tucson,2018,89333.33333333333,Manual,21642,Diesel,145,61.7,1.7
 Tucson,2017,108666.66666666667,Semi-Auto,18062,Diesel,145,57.6,1.7
 IX35,2014,43666.666666666664,Manual,82203,Diesel,145,53.3,1.7
 I30,2015,48000.0,Manual,46142,Diesel,0,78.4,1.6
 Tucson,2017,80000.0,Manual,41103,Petrol,160,44.8,1.6
 I20,2017,54333.333333333336,Manual,24533,Petrol,145,58.9,1.2
 I10,2017,50333.333333333336,Manual,24879,Petrol,145,60.1,1.0
 I10,2016,37000.0,Manual,37721,Petrol,20,60.1,1.0
 I20,2016,58333.333333333336,Manual,15053,Petrol,30,55.4,1.2
 Tucson,2017,108666.66666666667,Manual,22798,Diesel,30,61.7,1.7
 I10,2016,43000.0,Manual,6603,Petrol,20,60.1,1.0
 Kona,2018,99333.33333333333,Manual,8847,Petrol,145,44.1,1.0
 Tucson,2016,92666.66666666667,Semi-Auto,14996,Diesel,125,57.6,1.7
 IX20,2016,55333.333333333336,Manual,8648,Petrol,125,50.4,1.4
 I10,2017,45000.0,Manual,13997,Petrol,145,60.1,1.0
 I20,2015,41000.0,Manual,29861,Petrol,30,55.4,1.2
 Kona,2019,98333.33333333333,Manual,4131,Petrol,145,44.1,1.0
 I30,2015,59666.666666666664,Manual,25686,Diesel,20,72.4,1.6
 I20,2016,49333.333333333336,Manual,22654,Petrol,30,55.4,1.2
 I10,2016,47000.0,Manual,17166,Petrol,30,57.6,1.2
 Tucson,2017,105333.33333333333,Manual,26697,Diesel,145,61.4,1.7
 Tucson,2017,77666.66666666667,Manual,36571,Diesel,30,61.7,1.7
 I40,2015,67000.0,Semi-Auto,36831,Diesel,125,56.5,1.7
 Ioniq,2018,116000.0,Automatic,23252,Hybrid,135,78.5,1.6
 Tucson,2017,86333.33333333333,Manual,25661,Diesel,30,61.7,1.7
 I800,2019,159666.66666666666,Manual,6483,Diesel,145,31.7,2.5
 Tucson,2017,123333.33333333333,Manual,36432,Diesel,150,54.3,2.0
 Tucson,2019,137333.33333333334,Manual,6013,Petrol,150,34.9,1.6
 Tucson,2019,116000.0,Manual,14147,Petrol,150,34.9,1.6
 Tucson,2017,108666.66666666667,Manual,23546,Diesel,30,61.7,1.7
 I10,2014,37000.0,Manual,40650,Petrol,30,57.6,1.2
 I20,2017,57333.333333333336,Manual,27409,Petrol,30,58.9,1.2
 I10,2018,60333.333333333336,Manual,10268,Petrol,150,57.7,1.2
 Tucson,2016,81000.0,Manual,45910,Diesel,200,47.9,2.0
 I30,2018,74666.66666666667,Manual,33762,Petrol,150,56.5,1.0
 I10,2016,51333.333333333336,Semi-Auto,21344,Petrol,145,47.9,1.2
 I30,2015,49333.333333333336,Manual,37750,Petrol,145,47.1,1.4
 IX20,2017,67000.0,Manual,12536,Diesel,145,64.2,1.6
 I20,2016,51333.333333333336,Manual,14646,Petrol,30,58.9,1.2
 Kona,2019,104666.66666666667,Manual,3933,Petrol,145,44.1,1.0
 I10,2014,37000.0,Manual,21359,Petrol,30,57.6,1.2
 Tucson,2017,106333.33333333333,Semi-Auto,7525,Diesel,145,57.6,1.7
 Tucson,2016,89333.33333333333,Manual,18688,Diesel,30,61.7,1.7
 I30,2018,79000.0,Manual,21802,Petrol,150,52.3,1.4
 Ioniq,2018,130000.0,Automatic,3138,Hybrid,135,78.5,1.6
 IX20,2017,70333.33333333333,Automatic,8314,Petrol,160,43.5,1.6
 Ioniq,2019,133000.0,Automatic,2526,Hybrid,135,78.5,1.6
 I30,2016,56333.333333333336,Manual,31796,Diesel,0,78.4,1.6
 I10,2017,46000.0,Manual,29673,Petrol,145,57.7,1.2
 Santa Fe,2016,132333.33333333334,Semi-Auto,34812,Diesel,235,42.2,2.2
 Kona,2018,84000.0,Manual,28433,Petrol,145,52.3,1.0
 I10,2017,55333.333333333336,Manual,7546,Petrol,145,57.7,1.2
 I20,2016,47000.0,Manual,27497,Petrol,30,55.4,1.2
 I10,2015,41000.0,Manual,18050,Petrol,20,61.4,1.0
 Santa Fe,2015,135000.0,Automatic,28700,Diesel,260,42.2,2.2
 I20,2018,64666.666666666664,Manual,18000,Petrol,150,62.8,1.0
 IX20,2015,54333.333333333336,Automatic,24610,Petrol,205,43.6,1.6
 I20,2018,67666.66666666667,Manual,13976,Petrol,150,58.9,1.2
 I30,2017,78000.0,Manual,14440,Petrol,150,52.3,1.4
 I10,2017,51333.333333333336,Manual,16483,Petrol,30,57.7,1.2
 I20,2019,74666.66666666667,Manual,12120,Petrol,150,46.3,1.2
 Santa Fe,2016,135000.0,Semi-Auto,32223,Diesel,240,42.2,2.2
 I30,2015,47000.0,Manual,26247,Diesel,0,78.4,1.6
 I20,2015,40000.0,Manual,40700,Petrol,30,55.4,1.2
 I20,2014,33666.666666666664,Manual,31946,Petrol,30,57.6,1.2
 I10,2016,49333.333333333336,Semi-Auto,21473,Petrol,150,47.9,1.2
 Ioniq,2017,102333.33333333333,Automatic,43912,Hybrid,135,78.5,1.6
 Kona,2018,80000.0,Manual,20555,Petrol,145,52.3,1.0
 Tucson,2017,116000.0,Manual,12543,Petrol,145,38.7,1.6
 Tucson,2016,89333.33333333333,Manual,25237,Diesel,30,61.7,1.7
 I10,2013,22666.666666666668,Manual,45615,Petrol,20,61.4,1.2
 Kona,2018,91333.33333333333,Manual,9884,Petrol,150,44.1,1.0
 I10,2017,74666.66666666667,Semi-Auto,12536,Petrol,145,47.9,1.2
 I20,2018,69666.66666666667,Manual,17624,Petrol,145,65.7,1.0
 I20,2015,40000.0,Manual,47900,Petrol,30,55.4,1.2
 I10,2016,45000.0,Manual,16205,Petrol,30,57.6,1.2
 Santa Fe,2019,253000.0,Semi-Auto,9739,Diesel,150,39.2,2.2
 Ioniq,2017,104333.33333333333,Automatic,16001,Hybrid,140,78.5,1.6
 Kona,2019,101333.33333333333,Manual,6811,Petrol,150,44.1,1.0
 Tucson,2016,86333.33333333333,Manual,36510,Diesel,125,58.9,2.0
 Tucson,2019,168333.33333333334,Semi-Auto,9733,Petrol,150,35.8,1.6
 I20,2016,45000.0,Manual,27458,Petrol,30,56.5,1.2
 Tucson,2016,74666.66666666667,Manual,38000,Diesel,30,61.7,1.7
 I30,2018,83000.0,Manual,16337,Diesel,150,74.3,1.6
 I10,2020,88000.0,Manual,484,Petrol,150,55.4,1.2
 Kona,2018,85000.0,Manual,15459,Petrol,150,52.3,1.0
 I10,2019,60333.333333333336,Manual,9023,Petrol,150,57.6,1.2
 IX20,2017,73333.33333333333,Automatic,7941,Petrol,165,43.5,1.6
 I10,2020,98333.33333333333,Manual,1458,Petrol,150,53.3,1.0
 Ioniq,2018,98000.0,Automatic,37439,Hybrid,135,78.5,1.6
 I10,2019,62666.666666666664,Manual,2238,Petrol,145,49.6,1.0
 I10,2017,51333.333333333336,Manual,3379,Petrol,20,60.1,1.0
 Santa Fe,2019,226000.0,Automatic,14778,Diesel,145,39.8,2.2
 Kona,2018,91333.33333333333,Manual,9884,Petrol,145,44.1,1.0
 I30,2015,54333.333333333336,Manual,29590,Diesel,0,78.4,1.6
 Kona,2018,101333.33333333333,Manual,11421,Petrol,145,44.1,1.0
 Tucson,2016,95666.66666666667,Manual,25233,Diesel,30,61.7,1.7
 I20,2019,78000.0,Manual,2128,Petrol,145,47.9,1.0
 I30,2017,65666.66666666667,Manual,15824,Petrol,145,48.7,1.4
 I10,2017,57333.333333333336,Semi-Auto,24890,Petrol,145,47.9,1.2
 Santa Fe,2019,205666.66666666666,Automatic,4566,Diesel,145,42.2,2.2
 Kona,2019,164000.0,Automatic,1486,Hybrid,135,52.3,1.6
 I10,2016,40000.0,Manual,16309,Petrol,30,57.6,1.2
 I20,2019,70666.66666666667,Manual,10458,Petrol,145,46.3,1.2
 Tucson,2019,165000.0,Automatic,3393,Diesel,145,47.1,1.6
 I10,2019,62666.666666666664,Manual,1824,Petrol,145,49.6,1.0
 I800,2017,108666.66666666667,Manual,34492,Diesel,145,37.7,2.5
 I10,2019,60333.333333333336,Manual,9995,Petrol,145,57.6,1.2
 I10,2019,54333.333333333336,Manual,9367,Petrol,145,60.1,1.0
 I800,2019,187000.0,Manual,1200,Diesel,145,31.7,2.5
 I800,2018,113666.66666666667,Automatic,35845,Diesel,145,33.6,2.5
 Santa Fe,2018,140666.66666666666,Manual,34000,Diesel,145,47.1,2.2
 I20,2019,67666.66666666667,Manual,14188,Petrol,145,46.3,1.2
 I800,2018,132333.33333333334,Automatic,35757,Diesel,145,28.0,2.5
 I10,2017,47000.0,Manual,31458,Petrol,145,57.7,1.2
 Santa Fe,2018,148000.0,Manual,30229,Diesel,145,47.1,2.2
 I20,2015,42000.0,Manual,48458,Petrol,30,55.4,1.2
 I30,2019,119000.0,Manual,4952,Petrol,145,42.2,1.4
 Tucson,2019,183000.0,Automatic,3469,Hybrid,145,40.4,2.0
 Tucson,2016,102333.33333333333,Automatic,27458,Diesel,200,46.3,2.0
 Tucson,2019,154333.33333333334,Manual,2765,Petrol,145,34.9,1.6
 Tucson,2017,105333.33333333333,Automatic,36459,Diesel,150,46.3,2.0
 I20,2018,77000.0,Manual,4856,Petrol,150,47.9,1.0
 Ioniq,2017,113000.0,Automatic,19542,Hybrid,0,78.5,1.6
 I10,2018,51333.333333333336,Manual,7785,Petrol,145,60.1,1.0
 I10,2014,30666.666666666668,Manual,43482,Petrol,20,60.1,1.0
 I10,2018,49333.333333333336,Manual,24040,Petrol,145,57.7,1.2
 I30,2019,161666.66666666666,Manual,1790,Petrol,150,34.0,2.0
 Tucson,2017,113000.0,Manual,17177,Diesel,30,61.7,1.7
 Tucson,2016,85000.0,Automatic,40601,Diesel,200,47.1,2.0
 Santa Fe,2017,144333.33333333334,Manual,39608,Diesel,200,47.1,2.2
 I30,2018,78666.66666666667,Manual,12364,Diesel,145,74.3,1.6
 Ioniq,2018,113000.0,Automatic,27742,Hybrid,135,78.5,1.6
 I20,2016,43000.0,Manual,34599,Petrol,30,55.4,1.2
 Tucson,2020,184000.0,Semi-Auto,1764,Hybrid,145,50.4,1.6
 I30,2020,146666.66666666666,Semi-Auto,2083,Petrol,145,44.1,1.4
 Santa Fe,2020,306333.3333333333,Semi-Auto,2196,Diesel,145,39.2,2.2
 I10,2017,54333.333333333336,Manual,25000,Petrol,145,60.1,1.0
 I10,2016,43000.0,Manual,11500,Petrol,20,61.4,1.0
 I10,2015,43000.0,Manual,12500,Petrol,30,57.6,1.2
 I10,2016,52333.333333333336,Automatic,16500,Petrol,145,47.9,1.2
 Kona,2018,114666.66666666667,Manual,16500,Petrol,145,52.3,1.0
 IX20,2015,51000.0,Automatic,37500,Petrol,200,43.6,1.6
 I20,2016,52333.333333333336,Manual,27000,Petrol,30,58.9,1.2
 Santa Fe,2019,285000.0,Automatic,5000,Diesel,145,39.8,2.2
 I10,2017,47000.0,Manual,30367,Petrol,145,57.7,1.2
 I800,2018,132333.33333333334,Automatic,32730,Diesel,145,28.0,2.5
 Tucson,2017,115000.0,Manual,11333,Diesel,145,61.4,1.7
 I10,2017,43000.0,Manual,19116,Petrol,145,60.1,1.0
 Ioniq,2019,154333.33333333334,Automatic,2544,Hybrid,135,62.8,1.6
 Tucson,2016,80000.0,Manual,53753,Diesel,30,61.7,1.7
 I10,2017,44000.0,Manual,42057,Petrol,145,70.6,1.0
 Tucson,2016,73333.33333333333,Manual,21240,Diesel,30,61.7,1.7
 I10,2017,54333.333333333336,Manual,19750,Petrol,145,57.7,1.2
 I10,2020,88000.0,Manual,793,Petrol,145,56.5,1.0
 I10,2020,95333.33333333333,Manual,539,Petrol,145,55.4,1.2
 Santa Fe,2017,153666.66666666666,Semi-Auto,35406,Diesel,235,42.8,2.2
 Santa Fe,2019,252000.0,Semi-Auto,2251,Diesel,145,40.9,2.2
 I10,2017,69666.66666666667,Semi-Auto,8970,Petrol,145,47.9,1.2
 I10,2017,50333.333333333336,Manual,14500,Petrol,145,60.1,1.0
 IX20,2016,57333.333333333336,Manual,51500,Diesel,30,64.2,1.6
 Tucson,2016,115000.0,Automatic,40500,Diesel,235,43.5,2.0
 I10,2015,37000.0,Manual,16000,Petrol,30,57.6,1.2
 Kona,2019,135333.33333333334,Manual,50,Petrol,145,44.1,1.0
 I10,2020,92333.33333333333,Manual,500,Petrol,145,56.5,1.0
 I20,2016,49333.333333333336,Manual,24500,Petrol,30,58.9,1.2
 I20,2017,67666.66666666667,Manual,15500,Petrol,20,62.8,1.0
 I20,2017,60333.333333333336,Manual,35500,Petrol,145,62.8,1.0
 I10,2019,88000.0,Manual,6000,Petrol,145,60.1,1.0
 I20,2017,54333.333333333336,Manual,34945,Petrol,30,58.9,1.2
 Tucson,2016,90333.33333333333,Manual,65000,Diesel,145,54.3,2.0
 I40,2016,71333.33333333333,Manual,34504,Diesel,30,65.7,1.7
 I20,2018,58333.333333333336,Manual,25000,Petrol,150,55.4,1.2
 IX20,2019,99000.0,Automatic,357,Petrol,145,34.5,1.6
 IX20,2016,57333.333333333336,Automatic,13302,Petrol,160,43.5,1.6
 I10,2018,46000.0,Manual,32331,Petrol,145,57.7,1.2
 I10,2017,50333.333333333336,Manual,6500,Petrol,145,57.7,1.2
 I20,2018,74666.66666666667,Manual,5000,Petrol,145,58.9,1.2
