Name,Condition,Price,Location,Link,Description,Car_code,Year of manufacture,Condition,Origin,Body type,Engine,Exterior color,Interior color,Seats,Doors,Mileage
Mercedes Benz E class E200 - 2017, Used car,1 Billion VND 120 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2017-5250547," *Domestic assembly car, White color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5250547,2017.0,Used car,Assembled domestically,Sedan,Petrol  2.0 L,White,Black,5 seats,4 cửa,0 Km
Suzuki Ciaz 1.4 AT - 2019, Used car,395 Million VND,Hanoi,https://bonbanh.com/xe-suzuki-ciaz-1.4-at-2019-5413066," *Imported car, Silver color, Petrol engine 1.4 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5413066,2019.0,Used car,Imported,Sedan,Petrol  1.4 L,Silver,Black,5 seats,4 cửa,"50,000 Km"
Kia Sedona 3.3 GAT Premium - 2020, Used car,899 Million VND,Hanoi,https://bonbanh.com/xe-kia-sedona-3.3-gat-premium-2020-5326668," *Domestic assembly car, Black color, Petrol engine 3.3 L, Automatic transmission, đã đi 60,000 km ... ",Code: 5326668,2020.0,Used car,Assembled domestically,Van/Minivan,Petrol  3.3 L,Black,Brown,7 seats,5 doors,"60,000 Km"
Lexus RX 350 AWD - 2013, Used car,1 Billion VND 389 Million VND,Hanoi,https://bonbanh.com/xe-lexus-rx-350-awd-2013-5348859," *Imported car, White color, Petrol engine 3.5 L, Automatic transmission ... ",Code: 5348859,2013.0,Used car,Imported,SUV,Petrol  3.5 L,White,Kem,5 seats,5 doors,0 Km
Lexus ES 250 - 2024, New car,2 Billion VND 620 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-lexus-es-250-2024-5179883," *Imported car, màu xanh, Petrol engine 2.5 L, Automatic transmission ... ",Code: 5179883,2024.0,New car,Imported,Sedan,Petrol  2.5 L,Xanh,Brown,5 seats,4 cửa,
Ford EcoSport Titanium 1.5L AT - 2018, Used car,419 Million VND,Hanoi,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2018-5438362," *Domestic assembly car, Black color, Petrol engine 1.5 L, Automatic transmission, đã đi 44,000 km ... ",Code: 5438362,2018.0,Used car,Assembled domestically,SUV,Petrol  1.5 L,Black,Black,5 seats,5 doors,"44,000 Km"
Mercedes Benz V class V220d CDI - 2017, Used car,1 Billion VND 290 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-v_class-v220d-cdi-2017-5410609," *Imported car, White color, máy dầu 2.1 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5410609,2017.0,Used car,Imported,Van/Minivan,Dầu  2.1 L,White,Brown,7 seats,5 doors,"50,000 Km"
Mercedes Benz C class C180 AMG - 2022, Used car,1 Billion VND 120 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2022-5216537," *Domestic assembly car, White color, Petrol engine 1.5 L, Automatic transmission, đã đi 16,000 km ... ",Code: 5216537,2022.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,White,Kem,5 seats,4 cửa,"16,000 Km"
Toyota Vios E CVT - 2024, New car,492 Million VND,Hanoi,https://bonbanh.com/xe-toyota-vios-e-cvt-2024-5445976," *Domestic assembly car, Red color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5445976,2024.0,New car,Assembled domestically,Sedan,Petrol  1.5 L,Red,-,5 seats,4 cửa,
Toyota Vios E CVT - 2022, Used car,485 Million VND,Hanoi,https://bonbanh.com/xe-toyota-vios-e-cvt-2022-5420091," *Domestic assembly car, Black color, Petrol engine 1.5 L, Automatic transmission, đã đi 6,000 km ... ",Code: 5420091,2022.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,Black,Kem,5 seats,4 cửa,"6,000 Km"
Lexus ES 250 - 2023, New car,2 Billion VND 620 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-250-2023-5240249," *Imported car, màu xanh, Petrol engine 2.5 L, Automatic transmission ... ",Code: 5240249,2023.0,New car,Imported,Sedan,Petrol  2.5 L,Xanh,Brown,5 seats,4 cửa,
Peugeot 408 Premium 1.6 AT - 2023, New car,1 Billion VND 119 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-peugeot-408-premium-1.6-at-2023-5410528," *Domestic assembly car, Black color, Petrol engine 1.6 L, Automatic transmission ... ",Code: 5410528,2023.0,New car,Assembled domestically,Crossover,Petrol  1.6 L,Black,Black,5 seats,5 doors,
Toyota Innova 2.0E - 2018, Used car,495 Million VND,Hanoi,https://bonbanh.com/xe-toyota-innova-2.0e-2018-5396155," *Domestic assembly car, Silver color, Petrol engine 2.0 L, Manual transmission ... ",Code: 5396155,2018.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Silver,Kem,8 chỗ,5 doors,0 Km
Peugeot 3008 Allure - 2023, New car,929 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-peugeot-3008-allure-2023-5410510," *Domestic assembly car, Black color, Petrol engine 1.6 L, Automatic transmission ... ",Code: 5410510,2023.0,New car,Assembled domestically,Crossover,Petrol  1.6 L,Black,Black,5 seats,5 doors,
Toyota Avanza Premio 1.5 AT - 2024, New car,573 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2024-5396778," *Domestic assembly car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5396778,2024.0,New car,Assembled domestically,SUV,Petrol  1.5 L,White,Black,7 seats,5 doors,
Hyundai Getz 1.1 MT - 2009, Used car,108 Million VND,Hanoi,https://bonbanh.com/xe-hyundai-getz-1.1-mt-2009-5429751," *Imported car, Silver color, Petrol engine 1.1 L, Manual transmission, đã đi 1,600 km ... ",Code: 5429751,2009.0,Used car,Imported,Hatchback,Petrol  1.1 L,Silver,Ghi,5 seats,5 doors,"1,600 Km"
Peugeot 2008 GT Line 1.2 AT - 2023, New car,759 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2023-5226313," *Domestic assembly car, White color, Petrol engine 1.2 L, Automatic transmission ... ",Code: 5226313,2023.0,New car,Assembled domestically,Crossover,Petrol  1.2 L,White,Black,5 seats,5 doors,
Toyota Camry LE 2.4 - 2008, Used car,318 Million VND,Hanoi,https://bonbanh.com/xe-toyota-camry-le-2.4-2008-5378559," *Imported car, Black color, Petrol engine 2.4 L, Automatic transmission, đã đi 8,000 km ... ",Code: 5378559,2008.0,Used car,Imported,Sedan,Petrol  2.4 L,Black,Ghi,5 seats,4 cửa,"8,000 Km"
Peugeot 5008 GT 1.6 AT - 2023, New car,1 Billion VND 199 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-peugeot-5008-gt-1.6-at-2023-5184361," *Domestic assembly car, màu xám, Petrol engine 1.6 L, Automatic transmission ... ",Code: 5184361,2023.0,New car,Assembled domestically,SUV,Petrol  1.6 L,Xám,Brown,7 seats,5 doors,
Mitsubishi Pajero Sport 2.4D 4x4 AT - 2023, New car,1 Billion VND 365 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2023-5278993," *Imported car, Black color, máy dầu 2.4 L, Automatic transmission ... ",Code: 5278993,2023.0,New car,Imported,SUV,Dầu  2.4 L,Black,Black,7 seats,5 doors,
Mitsubishi Xforce Premium - 2024, New car,669 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-xforce-premium-2024-5402851," *Imported car, Red color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5402851,2024.0,New car,Imported,SUV,Petrol  1.5 L,Red,Black,5 seats,5 doors,
Mitsubishi Pajero Sport 2.4D 4x4 AT - 2021, Used car,990 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-5445029," *Imported car, Black color, máy dầu 2.4 L, Automatic transmission, đã đi 60,000 km ... ",Code: 5445029,2021.0,Used car,Imported,SUV,Dầu  2.4 L,Black,Black,7 seats,5 doors,"60,000 Km"
Ford Everest Titanium Plus 2.0L 4x4 AT - 2023, New car,1 Billion VND 482 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2023-2055450," *Imported car, Red color, máy dầu 2.0 L, Automatic transmission ... ",Code: 2055450,2023.0,New car,Imported,SUV,Dầu  2.0 L,Red,Brown,7 seats,5 doors,
Mitsubishi Outlander Premium 2.0 CVT - 2023, New car,846 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-outlander-premium-2.0-cvt-2023-5115894," *Domestic assembly car, Red color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5115894,2023.0,New car,Assembled domestically,SUV,Petrol  2.0 L,Red,Black,7 seats,5 doors,
Mitsubishi Xpander Premium 1.5 AT - 2023, New car,610 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-5335437," *Imported car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5335437,2023.0,New car,Imported,SUV,Petrol  1.5 L,White,Black,7 seats,5 doors,
Chevrolet Spark Duo Van 1.2 MT - 2016, Used car,135 Million VND,Hanoi,https://bonbanh.com/xe-chevrolet-spark-duo-van-1.2-mt-2016-5423373," *Domestic assembly car, màu xanh, Petrol engine 1.2 L, Manual transmission, đã đi 97,000 km ... ",Code: 5423373,2016.0,Used car,Assembled domestically,Van/Minivan,Petrol  1.2 L,Xanh,Xám,2 chỗ,5 doors,"97,000 Km"
Ford EcoSport Titanium 1.5L AT - 2015, Used car,368 Million VND,Hanoi,https://bonbanh.com/xe-ford-ecosport-titanium-1.5l-at-2015-5426713," *Domestic assembly car, White color, Petrol engine 1.5 L, Automatic transmission, đã đi 80,000 km ... ",Code: 5426713,2015.0,Used car,Assembled domestically,SUV,Petrol  1.5 L,White,Black,5 seats,5 doors,"80,000 Km"
Haval H6 HEV - 2023, New car,886 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-haval-h6-hev-2023-5202865," *Imported car, màu xanh, Hybrid car 1.5 L, Automatic transmission ... ",Code: 5202865,2023.0,New car,Imported,SUV,Hybrid  1.5 L,Xanh,Black,5 seats,5 doors,
Kia Carens EXMT - 2016, Used car,250 Million VND,Hà Giang,https://bonbanh.com/xe-kia-carens-exmt-2016-5274212," *Domestic assembly car, Brown color, Petrol engine 2.0 L, Manual transmission ... ",Code: 5274212,2016.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Brown,Kem,7 seats,5 doors,0 Km
Toyota Camry 2.0Q - 2024, New car,1 Billion VND 160 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-camry-2.0q-2024-4621359," *Imported car, Black color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 4621359,2024.0,New car,Imported,Sedan,Petrol  2.0 L,Black,Black,5 seats,4 cửa,
Suzuki XL7 1.5 AT - 2023, New car,530 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-suzuki-xl7-1.5-at-2023-4675374," *Imported car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 4675374,2023.0,New car,Imported,SUV,Petrol  1.5 L,White,Black,7 seats,5 doors,
Toyota Sienna Platinum 2.5 AT - 2021, Used car,4 Billion VND 99 Million VND,Hanoi,https://bonbanh.com/xe-toyota-sienna-platinum-2.5-at-2021-5222846," *Imported car, White color, Hybrid car 2.5 L, Automatic transmission ... ",Code: 5222846,2021.0,Used car,Imported,Van/Minivan,Hybrid  2.5 L,White,-,7 seats,5 doors,0 Km
Honda City RS 1.5 AT - 2023, New car,559 Million VND,Hanoi,https://bonbanh.com/xe-honda-city-rs-1.5-at-2023-5144823," *Domestic assembly car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5144823,2023.0,New car,Assembled domestically,Sedan,Petrol  1.5 L,White,Black,5 seats,4 cửa,
Mercedes Benz S class S400L - 2015, Used car,1 Billion VND 350 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-5442207," *Domestic assembly car, White color, Petrol engine 3.0 L, Automatic transmission, đã đi 80,000 km ... ",Code: 5442207,2015.0,Used car,Assembled domestically,Sedan,Petrol  3.0 L,White,-,5 seats,4 cửa,"80,000 Km"
Toyota Fortuner 2.7V 4x4 AT - 2013, Used car,450 Million VND,Hanoi,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x4-at-2013-5129273," *Domestic assembly car, Silver color, Petrol engine 2.7 L, Automatic transmission, đã đi 9,000 km ... ",Code: 5129273,2013.0,Used car,Assembled domestically,SUV,Petrol  2.7 L,Silver,Kem,7 seats,5 doors,"9,000 Km"
Hyundai SantaFe 2.4L 4WD - 2018, Used car,739 Million VND,Hanoi,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5434834," *Domestic assembly car, màu cát, Petrol engine 2.4 L, Automatic transmission, đã đi 60,000 km ... ",Code: 5434834,2018.0,Used car,Assembled domestically,SUV,Petrol  2.4 L,Cát,Kem,7 seats,5 doors,"60,000 Km"
Kia Morning GT-Line - 2022, Used car,395 Million VND,Hanoi,https://bonbanh.com/xe-kia-morning-gt-line-2022-5445001," *Domestic assembly car, White color, Petrol engine 1.25 L, Automatic transmission, đã đi 17,000 km ... ",Code: 5445001,2022.0,Used car,Assembled domestically,Hatchback,Petrol  1.25 L,White,Nhiều màu,5 seats,5 doors,"17,000 Km"
Lexus RX 350 AWD - 2014, Used car,1 Billion VND 399 Million VND,Hanoi,https://bonbanh.com/xe-lexus-rx-350-awd-2014-5329851," *Imported car, Red color, Petrol engine 3.5 L, Automatic transmission, đã đi 77,000 km ... ",Code: 5329851,2014.0,Used car,Imported,SUV,Petrol  3.5 L,Red,Kem,5 seats,5 doors,"77,000 Km"
BMW 5 Series 528i GT - 2016, Used car,979 Million VND,Hanoi,https://bonbanh.com/xe-bmw-5_series-528i-gt-2016-5349661," *Imported car, màu ghi, Petrol engine 2.0 L, Automatic transmission, đã đi 80,000 km ... ",Code: 5349661,2016.0,Used car,Imported,Sedan,Petrol  2.0 L,Ghi,Kem,5 seats,4 cửa,"80,000 Km"
Toyota Wigo G 1.2 AT - 2023, New car,390 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-wigo-g-1.2-at-2023-5091491," *Imported car, White color, Petrol engine 1.2 L, Automatic transmission ... ",Code: 5091491,2023.0,New car,Imported,Hatchback,Petrol  1.2 L,White,Black,5 seats,5 doors,
Mercedes Benz E class E250 - 2011, Used car,360 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2011-5435177," *Domestic assembly car, Black color, Petrol engine 1.8 L, Automatic transmission, đã đi 860,000 km ... ",Code: 5435177,2011.0,Used car,Assembled domestically,Sedan,Petrol  1.8 L,Black,Kem,5 seats,4 cửa,"860,000 Km"
Toyota Land Cruiser 3.5 V6 - 2022, Used car,4 Billion VND 850 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2022-5430206," *Imported car, White color, Petrol engine 3.4 L, Automatic transmission, đã đi 9,000 km ... ",Code: 5430206,2022.0,Used car,Imported,SUV,Petrol  3.4 L,White,Kem,7 seats,5 doors,"9,000 Km"
Lexus RX 350 AWD - 2014, Used car,1 Billion VND 380 Million VND,Hanoi,https://bonbanh.com/xe-lexus-rx-350-awd-2014-5326944," *Imported car, Red color, Petrol engine 3.5 L, Automatic transmission, đã đi 73,000 km ... ",Code: 5326944,2014.0,Used car,Imported,SUV,Petrol  3.5 L,Red,Kem,5 seats,5 doors,"73,000 Km"
Toyota Fortuner 2.4G 4x2 MT - 2016, Used car,670 Million VND,Hanoi,https://bonbanh.com/xe-toyota-fortuner-2.4g-4x2-mt-2016-5423279," *Imported car, White color, máy dầu 2.4 L, Manual transmission, đã đi 72,000 km ... ",Code: 5423279,2016.0,Used car,Imported,SUV,Dầu  2.4 L,White,Brown,7 seats,5 doors,"72,000 Km"
Toyota Highlander Limited Hybrid 2.5 AWD - 2020, Used car,3 Billion VND 499 Million VND,Hanoi,https://bonbanh.com/xe-toyota-highlander-limited-hybrid-2.5-awd-2020-5339849," *Imported car, Silver color, Hybrid car 2.5 L, Automatic transmission ... ",Code: 5339849,2020.0,Used car,Imported,SUV,Hybrid  2.5 L,Silver,Kem,7 seats,5 doors,0 Km
Porsche Macan 2.0 - 2022, Used car,3 Billion VND 450 Million VND,Hanoi,https://bonbanh.com/xe-porsche-macan-2.0-2022-5436591," *Imported car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 8,000 km ... ",Code: 5436591,2022.0,Used car,Imported,SUV,Petrol  2.0 L,White,Kem,5 seats,5 doors,"8,000 Km"
Lexus LX 570 Super Sport - 2015, Used car,3 Billion VND 450 Million VND,Hanoi,https://bonbanh.com/xe-lexus-lx-570-super-sport-2015-5437132," *Imported car, màu vàng, Petrol engine 5.7 L, Automatic transmission ... ",Code: 5437132,2015.0,Used car,Imported,SUV,Petrol  5.7 L,Vàng,Kem,7 seats,5 doors,0 Km
Toyota Sienna Platinum 2.5 AT AWD - 2021, Used car,3 Billion VND 990 Million VND,Hanoi,https://bonbanh.com/xe-toyota-sienna-platinum-2.5-at-awd-2021-5377361," *Imported car, Black color, Hybrid car 2.5 L, Automatic transmission, đã đi 21,000 km ... ",Code: 5377361,2021.0,Used car,Imported,Van/Minivan,Hybrid  2.5 L,Black,Brown,7 seats,5 doors,"21,000 Km"
Porsche Cayenne 3.6 V6 - 2015, Used car,1 Billion VND 870 Million VND,Hanoi,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2015-5398242," *Imported car, màu xanh, Petrol engine 3.6 L, Automatic transmission ... ",Code: 5398242,2015.0,Used car,Imported,SUV,Petrol  3.6 L,Xanh,Vàng,5 seats,5 doors,0 Km
Porsche Macan 2.0 - 2019, Used car,2 Billion VND 399 Million VND,Hanoi,https://bonbanh.com/xe-porsche-macan-2.0-2019-5326946," *Imported car, màu xanh, Petrol engine 2.0 L, Automatic transmission, đã đi 52,000 km ... ",Code: 5326946,2019.0,Used car,Imported,SUV,Petrol  2.0 L,Xanh,Kem,5 seats,5 doors,"52,000 Km"
Lexus LS 460L AWD - 2012, Used car,1 Billion VND 490 Million VND,Hanoi,https://bonbanh.com/xe-lexus-ls-460l-awd-2012-5436500," *Imported car, Black color, Petrol engine 4.6 L, Automatic transmission ... ",Code: 5436500,2012.0,Used car,Imported,Sedan,Petrol  4.6 L,Black,Kem,5 seats,4 cửa,0 Km
Mini Cooper S 5Dr - 2017, Used car,1 Billion VND 199 Million VND,Hanoi,https://bonbanh.com/xe-mini-cooper-s-5dr-2017-5243697," *Imported car, màu xanh, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5243697,2017.0,Used car,Imported,Hatchback,Petrol  2.0 L,Xanh,Black,5 seats,5 doors,0 Km
Ford Territory Titanium X 1.5 AT - 2024, New car,879 Million VND,Hanoi,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-5401516," *Domestic assembly car, Red color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5401516,2024.0,New car,Assembled domestically,SUV,Petrol  1.5 L,Red,Nhiều màu,5 seats,5 doors,
Lexus LX 570 Super Sport - 2019, Used car,6 Billion VND 699 Million VND,Hanoi,https://bonbanh.com/xe-lexus-lx-570-super-sport-2019-5404727," *Imported car, Black color, Petrol engine 5.7 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5404727,2019.0,Used car,Imported,SUV,Petrol  5.7 L,Black,Red,7 seats,5 doors,"50,000 Km"
Nissan Tiida 1.8 MT - 2006, Used car,169 Million VND,Hanoi,https://bonbanh.com/xe-nissan-tiida-1.8-mt-2006-5423370," *Imported car, màu cát, Petrol engine 1.8 L, Manual transmission, đã đi 120,000 km ... ",Code: 5423370,2006.0,Used car,Imported,Sedan,Petrol  1.8 L,Cát,Kem,5 seats,5 doors,"120,000 Km"
Porsche Panamera 4 - 2021, Used car,5 Billion VND 299 Million VND,Hải Phòng,https://bonbanh.com/xe-porsche-panamera-4-2021-5196667," *Imported car, White color, Petrol engine 2.9 L, Automatic transmission, đã đi 20,000 km ... ",Code: 5196667,2021.0,Used car,Imported,Sedan,Petrol  2.9 L,White,Brown,4 chỗ,4 cửa,"20,000 Km"
Ford F150 Harley davidson 5.0 - 2018, Used car,5 Billion VND 999 Million VND,Hanoi,https://bonbanh.com/xe-ford-f150-harley-davidson-5.0-2018-5408692," *Imported car, Red color, Petrol engine , Automatic transmission, đã đi 30,000 km ... ",Code: 5408692,2018.0,Used car,Imported,Bán tải / Pickup,Petrol,Red,Black,5 seats,4 cửa,"30,000 Km"
Ford Ranger Sport 2.0L 4x4 AT - 2023, New car,820 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-ranger-sport-2.0l-4x4-at-2023-4980051," *Domestic assembly car, White color, máy dầu 2.0 L, Automatic transmission ... ",Code: 4980051,2023.0,New car,Assembled domestically,Bán tải / Pickup,Dầu  2.0 L,White,Black,5 seats,4 cửa,
Toyota Avalon Limited Hybrid - 2013, Used car,1 Billion VND 150 Million VND,Hanoi,https://bonbanh.com/xe-toyota-avalon-limited-hybrid-2013-5188504," *Imported car, White color, Hybrid car 2.5 L, Automatic transmission ... ",Code: 5188504,2013.0,Used car,Imported,Sedan,Hybrid  2.5 L,White,Kem,5 seats,4 cửa,0 Km
Kia Cerato 1.6 MT - 2019, Used car,390 Million VND,Thanh Hóa,https://bonbanh.com/xe-kia-cerato-1.6-mt-2019-5245988," *Domestic assembly car, White color, Petrol engine 1.6 L, Manual transmission ... ",Code: 5245988,2019.0,Used car,Assembled domestically,Sedan,Petrol  1.6 L,White,Black,5 seats,4 cửa,0 Km
Nissan X trail 2.5 SV 4WD - 2016, Used car,535 Million VND,Hanoi,https://bonbanh.com/xe-nissan-x_trail-2.5-sv-4wd-2016-5431473," *Domestic assembly car, White color, Petrol engine 2.5 L, Automatic transmission, đã đi 61,000 km ... ",Code: 5431473,2016.0,Used car,Assembled domestically,SUV,Petrol  2.5 L,White,Black,7 seats,5 doors,"61,000 Km"
Mitsubishi Pajero Sport D 4x2 MT - 2017, Used car,480 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-pajero-sport-d-4x2-mt-2017-5410835," *Domestic assembly car, màu vàng, máy dầu 2.5 L, Manual transmission, đã đi 11,000 km ... ",Code: 5410835,2017.0,Used car,Assembled domestically,SUV,Dầu  2.5 L,Vàng,Kem,7 seats,5 doors,"11,000 Km"
Toyota Fortuner Legender 2.4L 4x2 AT - 2024, New car,1 Billion VND 185 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-fortuner-legender-2.4l-4x2-at-2024-5147326," *Domestic assembly car, màu đồng, máy dầu 2.4 L, Automatic transmission ... ",Code: 5147326,2024.0,New car,Assembled domestically,SUV,Dầu  2.4 L,Đồng,Black,7 seats,5 doors,
Toyota Land Cruiser 3.5 V6 - 2024, New car,4 Billion VND 286 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2024-5285589," *Imported car, Black color, Petrol engine 3.4 L, Automatic transmission ... ",Code: 5285589,2024.0,New car,Imported,SUV,Petrol  3.4 L,Black,Black,7 seats,5 doors,
Kia K3 Luxury 1.6 AT - 2022, Used car,575 Million VND,Hanoi,https://bonbanh.com/xe-kia-k3-luxury-1.6-at-2022-5439702," *Domestic assembly car, Red color, Petrol engine 1.6 L, Automatic transmission, đã đi 15,000 km ... ",Code: 5439702,2022.0,Used car,Assembled domestically,Sedan,Petrol  1.6 L,Red,Ghi,5 seats,4 cửa,"15,000 Km"
Ford Territory Titanium 1.5 AT - 2023, New car,844 Million VND,Hanoi,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2023-4645921," *Domestic assembly car, Red color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 4645921,2023.0,New car,Assembled domestically,SUV,Petrol  1.5 L,Red,Black,5 seats,5 doors,
Lexus RX 350 Premium - 2024, New car,3 Billion VND 430 Million VND,Hanoi,https://bonbanh.com/xe-lexus-rx-350-premium-2024-5389813," *Imported car, màu xám, Petrol engine 2.4 L, Automatic transmission ... ",Code: 5389813,2024.0,New car,Imported,SUV,Petrol  2.4 L,Xám,Black,5 seats,5 doors,
VinFast VF e34 AT - 2023, New car,710 Million VND,Hanoi,https://bonbanh.com/xe-vinfast-vf-e34-at-2023-4231366," *Domestic assembly car, Red color, xe điện , Automatic transmission ... ",Code: 4231366,2023.0,New car,Assembled domestically,Crossover,Điện  0.1 L,Red,Kem,5 seats,5 doors,
Kia Sorento DATH - 2019, Used car,710 Million VND,Hanoi,https://bonbanh.com/xe-kia-sorento-dath-2019-5369999," *Domestic assembly car, Black color, máy dầu 2.2 L, Automatic transmission ... ",Code: 5369999,2019.0,Used car,Assembled domestically,SUV,Dầu  2.2 L,Black,Kem,7 seats,5 doors,0 Km
Audi Q5 2.0 AT - 2013, Used car,600 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-audi-q5-2.0-at-2013-5408541," *Imported car, Black color, Petrol engine 2.0 L, Automatic transmission, đã đi 60,000 km ... ",Code: 5408541,2013.0,Used car,Imported,SUV,Petrol  2.0 L,Black,Kem,5 seats,5 doors,"60,000 Km"
Mercedes Benz E class E300 AMG - 2022, Used car,2 Billion VND 339 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-5425704," *Domestic assembly car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 3,500 km ... ",Code: 5425704,2022.0,Used car,Assembled domestically,Sedan,Petrol  2.0 L,White,Brown,5 seats,4 cửa,"3,500 Km"
Mitsubishi Outlander Sport 2.0 CVT Premium - 2014, Used car,395 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-outlander_sport-2.0-cvt-premium-2014-5334703," *Imported car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 70,000 km ... ",Code: 5334703,2014.0,Used car,Imported,SUV,Petrol  2.0 L,White,Black,5 seats,5 doors,"70,000 Km"
Mercedes Benz ML Class ML350 - 2005, Used car,395 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-ml_class-ml350-2005-5289441," *Imported car, Silver color, Petrol engine 3.5 L, Automatic transmission, đã đi 156,896 km ... ",Code: 5289441,2005.0,Used car,Imported,SUV,Petrol  3.5 L,Silver,Black,5 seats,5 doors,"156,896 Km"
Lexus ES 250 - 2022, Used car,2 Billion VND 390 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-250-2022-5396878," *Imported car, White color, Petrol engine 2.5 L, Automatic transmission, đã đi 18,000 km ... ",Code: 5396878,2022.0,Used car,Imported,Sedan,Petrol  2.5 L,White,Brown,5 seats,4 cửa,"18,000 Km"
Mitsubishi Mirage 1.2 CVT Eco - 2018, Used car,279 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-mirage-1.2-cvt-eco-2018-5438352," *Imported car, White color, Petrol engine 1.2 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5438352,2018.0,Used car,Imported,Hatchback,Petrol  1.2 L,White,Nhiều màu,5 seats,5 doors,"50,000 Km"
Ford Everest Titanium Plus 2.0L 4x4 AT - 2024, New car,1 Billion VND 475 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-4479516," *Imported car, Red color, máy dầu 2.0 L, Automatic transmission ... ",Code: 4479516,2024.0,New car,Imported,SUV,Dầu  2.0 L,Red,Nhiều màu,7 seats,5 doors,
Lexus RX 350 Luxury - 2023, Used car,4 Billion VND 380 Million VND,Hanoi,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-5411331," *Imported car, White color, Petrol engine 2.4 L, Automatic transmission, đã đi 10,000 km ... ",Code: 5411331,2023.0,Used car,Imported,SUV,Petrol  2.4 L,White,Kem,5 seats,5 doors,"10,000 Km"
